"district_code","tylephu_goithoai","delta_tylephu_goithoai","rate_tylephu_goithoai","log_delta_tylephu_goithoai","log_rate_tylephu_goithoai","tylephu_goidata","delta_tylephu_goidata","rate_tylephu_goidata","log_delta_tylephu_goidata","log_rate_tylephu_goidata","dt_goi_tt","delta_dt_goi_tt","rate_dt_goi_tt","log_delta_dt_goi_tt","log_rate_dt_goi_tt","partition"
P210002,0.12753,0.0016299999999999926,0.012781306359287953,-6.419175264163471,-4.359771616220142,0.65998,0.06220999999999999,0.09426043213430708,-2.777239520455209,-2.361693773004094,9.18450416499999E8,1.2422244433333302E8,0.13525220534682303,18.63758442235581,-2.000614055681843,"20200501"
P210002,0.13292,0.005390000000000006,0.040550707192296157,-5.22320989406123,-3.205202058565487,0.57275,-0.08723000000000003,-0.15230030554343088,,,7.77592472166666E8,-1.4085794433333302E8,-0.1811462293878047,,,"20200601"
P210002,0.12679,-0.0061299999999999966,-0.04834766148749898,,,0.5671,-0.005649999999999933,-0.009962969493916297,,,8.45334777333333E8,6.774230516666698E7,0.08013665944321464,18.031221434397978,-2.5240218586557357,"20200701"
P210002,0.13248,0.005689999999999973,0.04294987922705294,-5.169045030843902,-3.1477214424987148,0.58469,0.017589999999999995,0.030084318185705235,-4.040424720232671,-3.5037512334981495,1.00036030433333E9,1.5502552699999702E8,0.1549696907488854,18.85910035164612,-1.8645257247396023,"20200801"
P210002,0.12995,-0.0025299999999999767,-0.019469026548672386,,,0.66356,0.07887,0.11885888239194646,-2.5399543515722374,-2.129818351814175,1.00471572166666E9,4355417.333329916,0.00433497479874704,15.286930992226253,-5.441039482204352,"20200901"
P210002,0.12585,-0.00410000000000002,-0.03257846642828781,,,0.48708,-0.17648000000000003,-0.362322411102899,,,1.01535102749999E9,1.0635305833330035E7,0.010474511321977404,16.179689763450764,-4.558810466102033,"20201001"
P210002,0.12958,0.003730000000000011,0.028785306374440586,-5.59134704532641,-3.547890217366084,0.47911,-0.007970000000000033,-0.016635010749097352,,,9.98181222026899E8,-1.7169805473091006E7,-0.017201090437492034,,,"20201101"
P210002,0.1858,0.05621999999999999,0.30258342303552205,-2.878482713503751,-1.1953982609013525,0.51016,0.031049999999999967,0.06086325858554173,-3.47215647060265,-2.7991255936275294,1.08945736087359E9,9.127613884669101E7,0.08378128610145928,18.329399962521435,-2.4795456126445807,"20201201"
P210002,0.12863,-0.05717,-0.4444530824846459,,,0.50667,-0.003489999999999993,-0.006888112578206709,,,1120306000.2,3.0848639326410055E7,0.027535904762540656,17.244603201229843,-3.5922644981715837,"20210101"
P210002,0.10898,-0.01965,-0.18030831345200957,,,0.50711,4.3999999999999595E-4,8.676618485141212E-4,-7.728735831051976,-7.049708494652712,974099000.16,-1.4620700004000008E8,-0.15009460025724794,,,"20210201"
P210002,0.11504,0.00606000000000001,0.052677329624478526,-5.106045478900913,-2.9435700938915117,0.52783,0.02072000000000007,0.03925506318322201,-3.876655861590851,-3.237674844774635,9.77350666869999E8,3251666.7099990845,0.003327021528938702,14.994678256697457,-5.705677810990268,"20210301"
P210003,0.17383,0,0,,,0.44703,0,0,,,1.36273666666666E9,0,0,,,"20200301"
P210003,0.17143,-0.0024000000000000132,-0.013999883334305624,,,0.60065,0.15362000000000003,0.25575626404728213,-1.873273258411601,-1.3635303815968483,1.28847077733333E9,-7.426588933333015E7,-0.05763878439450042,,,"20200401"
P210003,0.17667,0.005239999999999995,0.02965981773928791,-5.2514337806491875,-3.517962087291639,0.61795,0.017299999999999982,0.027995792539849473,-4.057048777478405,-3.575701046532012,1.29660758283333E9,8136805.5,0.006275457283860364,15.911908216234696,-5.071108922697494,"20200501"
P210003,0.18185,0.005180000000000018,0.028485015122353685,-5.262950222710742,-3.558377115161603,0.57236,-0.04559000000000002,-0.07965266615416874,,,1.10854083233333E9,-188066750.5,-0.16965252430453526,,,"20200601"
P210003,0.17924,-0.002610000000000001,-0.01456148181209552,,,0.57889,0.006530000000000036,0.011280208675223334,-5.031348335693792,-4.484705533506802,1259683277,1.5114244466667008E8,0.11998448135838044,18.833733292274985,-2.1203928665764,"20200701"
P210003,0.18769,0.008449999999999985,0.04502104534072132,-4.773588837613056,-3.100625224299078,0.59548,0.016589999999999994,0.027859877745684145,-4.0989551747797845,-3.5805676988065036,1.47751919349999E9,2.1783591649999E8,0.14743356124124113,19.19925266074456,-1.914377636940119,"20200801"
P210003,0.1862,-0.0014899999999999913,-0.008002148227712091,,,0.64189,0.04640999999999995,0.07230210783779145,-3.0702403257290536,-2.6269019961927147,1.39797396983333E9,-7.954522366666007E7,-0.05690036108193321,,,"20200901"
P210003,0.18035,-0.005849999999999994,-0.03243692819517601,,,0.4352,-0.20668999999999998,-0.4749310661764706,,,1.41306199933333E9,15088029.5,0.01067754246248105,16.52941223904965,-4.539612578437918,"20201001"
P210003,0.18318,0.002829999999999999,0.015449284856425369,-5.867478567326991,-4.170192564319696,0.44316,0.007960000000000023,0.017961909919667892,-4.833326279125843,-4.019501878796178,1.40637491597289E9,-6687083.360440016,-0.004754836910479225,,,"20201101"
P210003,0.23161,0.04843,0.20910150684340054,-3.0276358225669995,-1.564935466244483,0.46174,0.018579999999999985,0.04023909559492352,-3.9856695455964455,-3.2129162287184863,1.43247344350129E9,2.6098527528400183E7,0.01821920514254663,17.077389454165058,-4.005279013648234,"20201201"
P210003,0.18749,-0.04412000000000002,-0.23531921702490813,,,0.43511,-0.026629999999999987,-0.06120291420560315,,,1411419667,-2.1053776501290083E7,-0.014916737376942107,,,"20210101"
P210003,0.1578,-0.029689999999999994,-0.18814955640050693,,,0.46674,0.03162999999999999,0.06776792218365683,-3.45364924166458,-2.6916663201291806,1323903333.96,-8.751633303999996E7,-0.06610477577560368,,,"20210201"
P210003,0.16938,0.011580000000000007,0.06836698547644354,-4.458475806837288,-2.682865239348603,0.48536,0.018620000000000025,0.03836327674303615,-3.9835190071332147,-3.26065461178512,1438722000.6,1.1481866663999987E8,0.07980601296992489,18.558864630025294,-2.5281564268647685,"20210301"
P210004,0.15455,0,0,,,0.42668,0,0,,,1039587000,0,0,,,"20200301"
P210004,0.15284,-0.0017099999999999893,-0.011188170635959102,,,0.57695,0.15026999999999996,0.26045584539388156,-1.8953216029445021,-1.3453219316030418,1067886749.5,28299749.5,0.026500702919340792,17.158363510984184,-3.630584021083606,"20200401"
P210004,0.1573,0.004459999999999992,0.02835346471710103,-5.412606512950166,-3.563006044032261,0.60369,0.026739999999999986,0.044294256986201506,-3.6215947073083403,-3.11690024947259,1.03033052683333E9,-3.7556222666669965E7,-0.03645065509424161,,,"20200501"
P210004,0.16381,0.006510000000000016,0.03974116354312933,-5.034415822761657,-3.2253677633960596,0.54896,-0.054729999999999945,-0.09969761002623131,,,8.01523193999999E8,-2.28807332833331E8,-0.285465641601048,,,"20200601"
P210004,0.16219,-0.0016200000000000103,-0.009988285344349283,,,0.56314,0.01417999999999997,0.025180239372092145,-4.2559227578781575,-3.6816957439737847,947033360.5,1.4551016650000095E8,0.15364840624323597,18.79575651498707,-1.873088363103527,"20200701"
P210004,0.17225,0.010059999999999986,0.058403483309143606,-4.599188114310546,-2.8403797452221764,0.5617,-0.0014399999999999968,-0.002563646074416943,,,1.12474624833333E9,1.7771288783332992E8,0.15800265001698668,18.995679816287527,-1.8451434738364136,"20200801"
P210004,0.17177,-4.7999999999998044E-4,-0.0027944344181171357,,,0.63595,0.07425000000000004,0.11675446182876018,-2.6003175012993274,-2.147682166214684,1.10551441533333E9,-19231833,-0.017396275193934312,,,"20200901"
P210004,0.16668,-0.005090000000000011,-0.030537556995440432,,,0.39683,-0.23912,-0.6025754101252425,,,1.11426188833333E9,8747473,0.007850464142755644,15.984275416623046,-4.847182622470034,"20201001"
P210004,0.16792,0.0012400000000000189,0.007384468794664237,-6.6926438993651765,-4.908376295895417,0.39455,-0.0022800000000000042,-0.005778735268026877,,,1.06079063859899E9,-5.347124973433995E7,-0.050406977389016776,,,"20201101"
P210004,0.21864,0.05071999999999999,0.23197950969630438,-2.9814349688531667,-1.4611062314908423,0.42903,0.03448000000000001,0.08036734027923458,-3.3673758331866446,-2.521147400757461,1.13210574925169E9,7.131511065269995E7,0.06299332964242828,18.082618793543308,-2.7647264368877633,"20201201"
P210004,0.17078,-0.047860000000000014,-0.28024358824218304,,,0.40121,-0.02782000000000001,-0.06934024575658636,,,1344650667.08,2.1254491782831E8,0.1580670154947126,19.174663902007136,-1.8447361871800907,"20210101"
P210004,0.1458,-0.024979999999999974,-0.17133058984910818,,,0.45042,0.049209999999999976,0.10925358554238261,-3.0116584241042506,-2.21408362593508,1.34800833393999E9,3357666.85999012,0.002490835386882404,15.026756903833432,-5.995137128032046,"20210201"
P210004,0.15753,0.01172999999999999,0.07446200723671675,-4.445605616316754,-2.5974662536524944,0.45203,0.0016100000000000003,0.003561710505939872,-6.4315210999857655,-5.637514370314773,1.51090033392999E9,162891999.99,0.10781121450036549,18.908597962421588,-2.227373595302414,"20210301"
P210005,0.1496,0,0,,,0.42248,0,0,,,1.05984149999999E9,0,0,,,"20200301"
P210005,0.14629,-0.0033100000000000074,-0.022626290245403018,,,0.58035,0.15787,0.2720255018523305,-1.8459833694385015,-1.3018594602709963,1.00598636083333E9,-5.385513916665995E7,-0.053534661366629176,,,"20200401"
P210005,0.14759,0.0012999999999999956,0.008808184836370999,-6.645391014514649,-4.732073894726197,0.62233,0.04198000000000002,0.06745617277007378,-3.1705619645896497,-2.696277184280386,1.04106952749999E9,3.508316666665995E7,0.033699158163728204,17.373231991253355,-3.390282422240635,"20200501"
P210005,0.15302,0.00542999999999999,0.03548555744347138,-5.215816145036294,-3.3386294978578634,0.54171,-0.08062000000000002,-0.14882501707555706,,,8.30007138166666E8,-2.1106238933332396E8,-0.25428984839759594,,,"20200601"
P210005,0.15213,-8.900000000000019E-4,-0.005850259646355104,,,0.55835,0.016639999999999988,0.029802095459837,-4.095945843589075,-3.5131765704987394,9.47483582499999E8,1.1747644433333302E8,0.1239878415870421,18.58174839769207,-2.0875717699018863,"20200701"
P210005,0.1613,0.009170000000000011,0.05685058896466219,-4.691817992713762,-2.8673286988627886,0.56266,0.004310000000000036,0.007660043365442782,-5.446817374866472,-4.871737633960704,1.13879719316666E9,1.9131361066666102E8,0.1679962084685809,19.069424580163204,-1.783813868472953,"20200801"
P210005,0.15804,-0.003259999999999985,-0.02062768919260937,,,0.63461,0.07194999999999996,0.11337671956004469,-2.6317838456487608,-2.1770392036493322,1.12155316533333E9,-1.7244027833330154E7,-0.01537513188525946,,,"20200901"
P210005,0.15157,-0.0064700000000000035,-0.04268654746981595,,,0.41145,-0.22316000000000003,-0.542374529104387,,,1104794082.5,-1.6759082833329916E7,-0.015169417630665049,,,"20201001"
P210005,0.1535,0.0019299999999999873,0.012573289902280047,-6.250235276065349,-4.376180564110464,0.42195,0.01050000000000001,0.024884464984002867,-4.556380021818659,-3.6935115664404967,1.09448758287689E9,-1.0306499623110056E7,-0.00941673508622103,,,"20201101"
P210005,0.21054,0.05704000000000001,0.27092239004464713,-2.8640025028760965,-1.305922882717138,0.45225,0.030299999999999994,0.06699834162520729,-3.496607566466814,-2.703087411760081,1.16411491621629E9,6.962733333940005E7,0.05981139178742681,18.058667768603858,-2.816559138050508,"20201201"
P210009,0.15768,0.0036299999999999943,0.023021308980213057,-5.618522630705379,-3.7713350145677067,0.60463,0.03290000000000004,0.05441344293204115,-3.4142826212108095,-2.9111440429262148,1.06274180516666E9,1.4614172199999392E8,0.13751385453127618,18.800087407479452,-1.9840306067240188,"20200701"
P210009,0.16654,0.008860000000000007,0.053200432328569754,-4.726208514365147,-2.933688756190683,0.59169,-0.012939999999999952,-0.02186956007368715,,,1.18997013716666E9,1.2722833200000012E8,0.10691724777474923,18.661493919917408,-2.2357001290196292,"20200801"
P210009,0.16112,-0.00541999999999998,-0.03363952333664337,,,0.64334,0.051649999999999974,0.0802841421332421,-2.96326508341649,-2.5221831603057825,1157654610.5,-3.231552666666007E7,-0.027914652931501516,,,"20200901"
P210009,0.1575,-0.003620000000000012,-0.02298412698412706,,,0.44897,-0.19437000000000004,-0.43292424883622527,,,1.16220899966666E9,4554389.16666007,0.003918735070857601,15.331601977962587,-5.541986363259812,"20201001"
P210009,0.15853,0.0010300000000000031,0.006497192960322987,-6.878196476740589,-5.036385047613589,0.46684,0.017869999999999997,0.03827863936252249,-4.024631949810801,-3.2628632573728162,1.13079822204279E9,-3.1410777623870134E7,-0.02777752653972738,,,"20201101"
P210009,0.20551,0.046979999999999994,0.2286020145005109,-3.0580332997513704,-1.4757727153220623,0.48915,0.022309999999999997,0.0456097311663089,-3.802720270537696,-3.087634182458997,1.18435030522289E9,5.3552083180099964E7,0.045216421985910395,17.796165255690553,-3.0962949398556994,"20201201"
P210009,0.16041,-0.0451,-0.28115454148743846,,,0.45718,-0.03197,-0.0699286932936699,,,1076142666.84,-1.0820763838288999E8,-0.10055138757822174,,,"20210101"
P210009,0.1397,-0.020710000000000006,-0.1482462419470294,,,0.50552,0.048339999999999994,0.09562430764361449,-3.0294959037068003,-2.347328227189863,1040238667.04,-3.590399979999995E7,-0.0345151559325946,,,"20210201"
P210009,0.14812,0.00842000000000001,0.05684580070213348,-4.7771454507279,-2.8674129277911753,0.48335,-0.022169999999999968,-0.0458673838833143,,,1268510666.84,2.2827199979999995E8,0.1799527633209823,19.246048457460585,-1.715060888526196,"20210301"
P210010,0.14163,0,0,,,0.42809,0,0,,,7.43122333333333E8,0,0,,,"20200301"
P210010,0.14184,2.0999999999998797E-4,0.0014805414551606597,-8.468403027246863,-6.515347410030678,0.61764,0.18954999999999994,0.30689398355028813,-1.6631024370197935,-1.1812529214903198,7.64276166333333E8,21153833,0.027678258111183757,16.867331676350933,-3.58710807972207,"20200401"
P210010,0.13671,-0.005129999999999996,-0.03752468729427252,,,0.64065,0.023010000000000086,0.0359166471552331,-3.7718263749348586,-3.326554381908307,748112611,-1.6163555333333015E7,-0.021605778455902832,,,"20200501"
P210010,0.14114,0.0044299999999999895,0.031387275046053494,-5.419355694925095,-3.461352721515642,0.57068,-0.06997000000000009,-0.12260811663278912,,,6.09257305166666E8,-1.3885530583333397E8,-0.22790913568996807,,,"20200601"
P210010,0.14017,-9.699999999999986E-4,-0.0069201683669829405,,,0.57278,0.0020999999999999908,0.003666329131603741,-6.165817934252764,-5.608564354106361,6.89527359833333E8,8.027005466666698E7,0.11641315391178853,18.200907191142374,-2.150609743954488,"20200701"
P210010,0.14843,0.008260000000000017,0.055649127534865034,-4.796330691449248,-2.888688879103785,0.59216,0.019380000000000064,0.03272764117806009,-3.9435136725195137,-3.4195352621752226,8.51705665333333E8,162178305.5,0.19041590551887205,18.904206939158744,-1.6585446227248917,"20200801"
P210010,0.14899,5.600000000000049E-4,0.0037586415195651045,-7.48757377423507,-5.583697684852181,0.65394,0.061779999999999946,0.09447349909777648,-2.784175591491702,-2.3594359166388403,7.97657331999999E8,-5.404833333333397E7,-0.0677588372413206,,,"20200901"
P210010,0.14249,-0.006500000000000006,-0.04561723629728406,,,0.42641,-0.22752999999999995,-0.5335944278980322,,,7.99413166333333E8,1755834.333333969,0.0021964040714859017,14.378454705522708,-6.120933768852523,"20201001"
